"Body Type (s=star, p=planet)",Name,Mass (kg),Radius (km),Orbit SMA (km),Orbit Mean Velocity (km/s),Inclination (deg),Start Position Angle (deg)
s,Sun,1.99E+30,696342,0,0,0,0
p,Mercury,3.30E+23,2439.5,5.79E+07,47.4,7,0
p,Venus,4.87E+24,6052,1.08E+08,35,3.4,0
p,Earth,5.97E+24,6378,1.50E+08,29.8,0,0
p,Mars,6.42E+23,3396,2.28E+08,24.1,1.9,0
p,Jupiter,1.90E+27,71492,7.79E+08,13.1,1.3,0
p,Saturn,5.68E+26,60268,1.43E+09,9.7,2.5,0
p,Uranus,8.68E+25,25559,2.87E+09,6.8,0.8,0
p,Neptune,1.02E+26,24764,4.50E+09,5.4,1.8,0
p,Pluto,1.46E+22,1185,5.91E+09,4.7,17.2,0
